,Movie,Rating,Stars
0,Sillu Karuppatti ,4,P.Samuthirakani|Sunainaa|SaraArjun|NivedhithaaSathish|LeelaSamson
1,Karuppu Durai ,4,MuRamaswamy
2,Game Over ,4,TaapseePannu|Vinodhini|RamyaSubramanian|SanchanaNatarajan
3,Super Deluxe ,4,VijaySethupathi|FahadhFaasil|SamanthaRuthPrabhu|RamyaKrishnan|Mysskin
4,To Let ,4,SanthoshSreeram|SheelaRajKumar|DharunBala
5,Peranbu ,4,Mammootty|P.Samuthirakani|Anjali|Livingstone
6,Hero ,3.5,Sivakarthikeyan|KalyaniPriyadarshan|AbhayDeol|ArjunSarja
7,Irandam Ulagaporin Kadaisi Gundu ,3.5,Dinesh|Anandhi|Riythvika|JohnVijay
8,Adithya Varma ,3.5,DhruvVikram|BanitaSandhu|PriyaAnand|LeelaSamson
9,Kaithi ,3.5,Karthi|Narain|Dheena|HareeshPeradi
10,Asuran ,3.5,Dhanush|ManjuWarrier|PrakashRaj|Pasupathy|YogiBabu|AadukalamNaren|GuruSomasundaram|BalajiSakthivel|ThalaivasalVijay
11,Bailwaan ,3.5,KichchaSudeepa|SunielShetty|AakankshaSingh
12,Magamuni ,3.5,Arya|MahimaNambiar|BalaSingh|Ilavarasu|V.Jayaprakash|Indhuja
13,Nerkonda Paarvai ,3.5,AjithKumar|ShraddhaSrinath|AndreaTariang|ArjunChidambaram|AdhikRavichandran|SujithShankar|DelhiGanesh
14,Aadai ,3.5,amalapaul|VivekPrasanna|RamyaSubramanian|Adiraj
15,Jiivi ,3.5,Vetri|Monicachinnakotla|Karunakaran|MimeGopi|Rohini
16,House Owner ,3.5,KishoreKumarG.|LovelynChandrasekhar|Sriranjani
17,Pakkiri ,3.5,Dhanush|ErinMoriarty|BarkhadAbdi|BereniceBejo|GerardJugnot|AbelJafri|BenMiller
18,Kolaigaran ,3.5,ArjunSarja|VijayAntony|AshimaNarwal|Nassar|Seetha|BagavathiPerumal|RamSampath
19,Monster ,3.5,S.J.Suryah|PriyaBhavaniSankar|Karunakaran
